time_hours,t_half_1h,t_half_2h,t_half_4h,t_half_6h,t_half_8h,t_half_12h,t_half_18h,t_half_24h,t_half_36h,t_half_48h,t_half_60h,t_half_72h
0.0,100.8923063045885,100.8923063045885,100.8923063045885,100.89230630458869,100.89230630458854,100.8923063045885,100.89230630458852,100.89230630458847,100.89230630458857,100.89230630458847,100.8923063045885,100.89230630458908
1.0,52.968459532881944,74.90871384941211,89.08197548542333,94.37906539942593,97.14458310795148,99.99113667081406,100.89230437494125,100.89230485040932,100.89230533047679,100.89230557224917,100.89230571787225,100.89230581518821
2.0,26.48422976644096,52.96845953288192,74.90871384941208,84.08218838363177,89.08197548542373,94.3790653994259,98.08431446061613,99.99113667081406,100.89230437494125,100.89230485040927,100.89230513789504,100.89230533047679
3.0,13.242114883220484,37.45435692470604,62.99046894723689,74.90871384941208,81.68853169679294,89.08197548542373,94.3790653994259,97.14458310795148,99.99113667081407,100.89230413891823,100.89230456457936,100.89230485040929
4.0,6.62105744161024,26.48422976644096,52.96845953288192,66.7360771459827,74.90871384941208,84.08218838363179,90.81378643111906,94.37906539942587,98.0843144606161,99.99113667081404,100.89230399784881,100.89230437494128
5.0,3.3105287208051215,18.72717846235302,44.54098774271186,59.45508558307079,68.69159347117262,79.36301776937314,87.38319002263684,91.69227661176735,96.21385518279753,98.55758360662274,99.99113667081404,100.89230390402861
6.0,1.6552643604025608,13.242114883220486,37.45435692470604,52.96845953288192,62.99046894723689,74.90871384941208,84.08218838363179,89.08197548542373,94.3790653994259,97.14458310795148,98.8426405101223,99.99113667081404
7.0,0.8276321802012804,9.36358923117651,31.495234473618453,47.18953269971295,57.76251470797453,70.7044107984835,80.90588592095449,86.54598456515163,92.57926489636911,95.751840516751,97.70733595295702,99.0331363357466
8.0,0.4138160901006402,6.6210574416102395,26.484229766440958,42.041094191815894,52.96845953288192,66.7360771459827,77.84957197818082,84.08218838363179,90.81378643111906,94.3790653994259,96.58507148082865,98.0843144606161
9.0,0.20690804505032,4.681794615588255,22.27049387135593,37.45435692470604,48.57229155397574,62.99046894723689,74.90871384941208,81.68853169679295,89.08197548542371,93.02597148626958,95.47569731558575,97.14458310795148
10.0,0.10345402373781962,3.310528720805121,18.72717846235302,33.36803857299135,44.540987742711856,59.45508558307079,72.07895005698688,79.36301776937314,87.38319002263684,91.69227661176735,94.3790653994259,96.21385518279756
11.0,0.0,2.340897307794127,15.747617236809223,29.727542791535395,40.844265848396475,56.1181280401522,69.3560838831354,77.10370670928718,85.71680024969459,90.3777026557555,93.2950293751354,95.29204442464302
12.0,0.0,1.655264360402561,13.242114883220486,26.484229766440958,37.45435692470604,52.96845953288192,66.7360771459827,74.90871384941208,84.08218838363179,89.08197548542373,92.22344456655664,94.3790653994259
13.0,0.0,1.1704486538970642,11.135246935677966,23.594766349856474,34.34579673558632,49.99556833540703,64.21504421067115,72.77620817543934,82.47874842255013,87.80482489814952,91.16416795927934,93.47483349161524
14.0,0.0,0.8276321802012804,9.36358923117651,21.020547095907947,31.495234473618446,47.18953269971295,61.78924622671914,70.7044107984835,80.90588592095449,86.54598456515163,90.11705818155393,92.57926489636911
15.0,0.0,0.5852243269485319,7.873808618404613,18.72717846235302,28.881257353987266,44.540987742711856,59.45508558307079,68.69159347117264,79.36301776937314,85.30519197595166,89.08197548542373,91.69227661176735
