log_sigma,order_stats_predicted_tw,os_min_t_half,os_min_t_half_ci_low,os_min_t_half_ci_high,largest_clause_rxn,largest_clause_size,fba_mean_tw,fba_std_tw,fba_min_tw,fba_max_tw,gap_fba_minus_os
0.0,27.863137138648348,12.0,12.0,12.0,N/A,0,29.0,0.0,29.0,29.0,1.136862861351652
0.2,18.19646176797213,7.836789523344326,6.283667881695523,9.187969599834576,CI_mitoMap,39,19.3,1.705872210923198,16.0,22.0,1.1035382320278693
0.4,11.99027841348773,5.1639318374625995,3.2903735049634433,7.034898781173666,CI_mitoMap,39,12.6,2.083266665599966,9.0,16.0,0.6097215865122703
0.6,7.968209533555112,3.4317210559191125,1.7229678603834966,5.386369679120295,CI_mitoMap,39,8.55,2.0118399538730705,5.0,12.0,0.5817904664448887
0.8,5.338288988641679,2.2990759276292927,0.9022131512871243,4.1241500730696385,CI_mitoMap,39,5.75,1.7571283390805579,3.0,9.0,0.4117110113583209
1.0,3.6040372549434863,1.5521743601273403,0.4724339840116504,3.157713792364151,CI_mitoMap,39,3.95,1.4654350889752845,2.0,7.0,0.3459627450565139
