X_C1,X_C3,X_C4,X_F,E_ANT,E_PiC,X_H,halflife_hours,tw_delta_psi_h,tw_atp_h,success
12286.523952262574,933547.3106465972,0.02436109388872635,833.3560048188829,0.3746190053328535,5001527.876223516,1130.740693801547,5.599366629091488,83.11409395973155,18.36241610738255,True
7750.855860506021,596463.9426764156,0.012422781992641152,1312.8533091208124,0.25668309487025365,8262248.456197619,976.1536051944759,3.943923520318456,56.053691275167786,11.59731543624161,True
8225.11645532022,890067.4038961093,0.015468428445863842,738.4985179821568,0.29262999777867954,2997919.890926613,764.0045845375921,3.625239849078228,54.12080536912752,10.630872483221477,True
9657.015604954862,1184147.950977877,0.01655719318382248,659.4615941785585,0.4706889300523412,6726624.386730623,1289.648808476953,3.2690186670558825,46.38926174496644,11.59731543624161,True
11328.672696337228,561419.119245439,0.011595291826501314,924.5401344941506,0.3791426392585364,4605543.873625057,884.5612167386336,3.9928547558762277,57.02013422818792,11.59731543624161,True
8734.92151470985,1040616.211075494,0.013210947670622164,600.9323825944763,0.26002096004503056,3679087.6151963947,1179.6444784850682,2.9655650485317553,41.557046979865774,8.697986577181208,True
7377.13648034412,760740.087251608,0.015358442842104754,1051.5598379873377,0.2788814204717501,4958504.439373728,1074.8271429560689,5.245991125649318,75.38255033557047,15.463087248322148,True
8973.355507015329,782809.8274712578,0.007446556300228956,678.5809587225565,0.5754859499926499,4665801.695116242,1350.8281857355285,6.455985339901135,84.08053691275167,18.36241610738255,True
9552.989697154095,1114224.079146239,0.009431750837604096,1148.9608000485666,0.3577408056326078,4788494.135582943,1904.9378287133222,3.7539074431453296,49.288590604026844,10.630872483221477,True
9770.160271031962,1104184.0744161375,0.00933053195395642,694.3185240473634,0.1845119818485549,5796858.503052142,1197.7551609612688,4.341370946105155,58.95302013422818,11.59731543624161,True
11125.765499589363,1382581.4445964952,0.006550378537759669,1625.0439259166892,0.395194483996289,2866473.356878364,987.9995118449845,7.276235536525906,98.57718120805369,18.36241610738255,True
6333.946203974519,690278.4639439539,0.012892371965650608,954.5529379425334,0.41089768958822864,3366436.27760146,1100.9180288095943,3.5613248454927318,50.255033557046985,10.630872483221477,True
9344.731129056026,828437.9695415883,0.023954566333273336,988.0135705664794,0.2712630610645032,8857126.804933889,1425.418877300969,4.416646720216319,63.78523489932886,14.496644295302014,True
6427.833491824974,918218.3360843568,0.027538195245575128,565.7305751239055,0.34965894869913106,3891080.1826120843,1117.1254158825705,3.511640286563592,52.18791946308725,10.630872483221477,True
