mitoq_um,scenario,tw_delta_psi_h,tw_atp_h,first_failure_mode,delta_psi_final_mV,atp_c_final_mM
0.0,A,,23.39698492462312,atp,130.48722422833572,-45.92101076833721
0.5,A,,26.77386934673367,atp,132.66809520682114,-37.12468085685164
1.0,A,,28.221105527638194,atp,134.25567983927323,-32.508464571382085
5.0,A,,31.597989949748744,atp,139.06424987589858,-21.695937191848017
