label,t_cross_atp_c,t_cross_atp_x,t_cross_dpsi,atp_c_0,atp_x_0,dpsi_0_mV,atp_c_at_cross,atp_x_at_cross,dpsi_at_cross_mV,cap_C1,cap_C3,cap_C4,cap_F1,cap_ANT,cap_PiC,util_J_DH,util_J_C1,util_J_C3,util_J_C4,util_J_F1,util_J_ANT,util_J_PiC,util_J_leak,scale_factor
baseline,33.443609022556394,,,0.005,0.0005,175.0,0.000950023686849667,0.0004184963123960564,150.05821409585764,0.14489635804132425,0.14489635804132425,0.14489635804132425,0.14489635804132425,0.2897927160826485,0.14489635804132425,0.6284784346694041,-0.6649271119010787,1.0272197758118033,5.672928930495429,-0.021907392952052074,-0.4242611402646833,0.23728605131831065,0.6262346680727366,
ANT+PiC×0.5,26.225563909774436,,,0.005,0.0005,175.0,0.0009854586382356113,0.000521028327693529,154.26427737889452,0.2198642858733334,0.2198642858733334,0.2198642858733334,0.2198642858733334,0.4397285717466668,0.2198642858733334,0.6318711322665673,-0.6685166019065025,1.0327651822201953,5.703553883025357,-0.02194228516775516,-0.8498737030457824,0.4753258821566229,0.6777316507455102,0.5
ANT+PiC×2.0,39.45864661654135,,,0.005,0.0005000000000000001,175.0,0.0009529345092161415,0.00031493957064459855,146.18655022706295,0.10236720227020488,0.10236720227020488,0.10236720227020488,0.10236720227020488,0.20473440454040975,0.10236720227020488,0.6263496571470669,-0.6626735737025772,1.0237386355310374,5.653704112515791,-0.021905651136116647,-0.21211375518162814,0.11863398756403375,0.5822683313792383,2.0
ANT+PiC×5.0,45.714285714285715,,,0.005,0.0004999999999999999,175.00000000000003,0.0009939343392442873,0.0001987656228341549,141.8579603447017,0.07132854403943938,0.07132854403943938,0.07132854403943938,0.07132854403943938,0.14265708807887875,0.07132854403943938,0.625522517982114,-0.6617998597005659,1.0223893586788817,5.646252702520936,-0.021954357894244093,-0.08503417899165781,0.047559193537286035,0.5367217180459475,5.0
