param,central,rel_sigma,tw_minus3sigma,tw_central,tw_plus3sigma,range_width_h
halflife_hours,4.7,0.5,3.865771812080537,13.53020134228188,57.986577181208055,54.12080536912752
X_C4,0.0125,0.4,10.630872483221477,13.53020134228188,15.463087248322148,4.832214765100671
E_PiC,5000000.0,0.3,11.59731543624161,13.53020134228188,14.496644295302014,2.899328859060404
E_ANT,0.325,0.25,12.563758389261746,13.53020134228188,15.463087248322148,2.899328859060402
X_C1,10000.0,0.3,13.53020134228188,13.53020134228188,14.496644295302014,0.9664429530201346
X_C3,1000000.0,0.3,13.53020134228188,13.53020134228188,14.496644295302014,0.9664429530201346
X_F,1000.0,0.3,13.53020134228188,13.53020134228188,14.496644295302014,0.9664429530201346
X_H,1000.0,0.4,14.496644295302014,13.53020134228188,13.53020134228188,0.9664429530201346
