k_membrane,membrane_halflife_h,tw_delta_psi_h,tw_atp_h,first_failure_mode,delta_psi_final_mV
0.0,inf,,33.527638190954775,atp,142.49541916739184
0.05,13.862943611198904,,18.090452261306535,atp,128.75637364522186
0.1,6.931471805599452,,11.095477386934673,atp,126.53589327626916
0.2,3.465735902799726,,6.2713567839195985,atp,126.04191446672338
0.35,1.9804205158855581,,3.8592964824120606,atp,125.98284563484647
0.5,1.3862943611198906,,3.1356783919597992,atp,125.97171342626397
