mptp_enabled,scenario,tw_delta_psi_h,tw_atp_h,first_failure_mode,delta_psi_72h_mV,atp_c_72h_mM
False,A,,33.527638190954775,atp,142.49542026193814,-15.85529772085802
False,B,,14.231155778894474,atp,149.28212375468857,-12.127497960376093
False,C,,13.748743718592966,atp,127.02572112445718,-61.6769061267573
True,A,,33.527638190954775,atp,142.49540898354368,-15.855313640653547
True,B,,14.231155778894474,atp,149.28099420975897,-12.128501699003602
True,C,0.2412060301507538,0.2412060301507538,co_limited,54.533300018060245,-105.36867765356263
