intervention,scenario,baseline_tw_h,intervention_tw_delta_psi_h,intervention_tw_atp_h,delta_tw_h,fold_extension,first_failure_mode,delta_psi_final_mV,hits_sim_cap
baseline,A,66.57286432160804,66.57286432160804,13.748743718592966,0.0,1.0,atp,91.53050969093833,False
cold_chain,A,66.57286432160804,,,,,,152.45502901322573,True
mitoq_selective,A,66.57286432160804,90.45226130653266,16.64321608040201,23.879396984924625,1.358695652173913,atp,38.444953784182616,False
mitoq_uniform,A,66.57286432160804,90.45226130653266,18.090452261306535,23.879396984924625,1.358695652173913,atp,38.44495894158443,False
substrate_supp,A,66.57286432160804,66.57286432160804,13.748743718592966,0.0,1.0,atp,-5.7868688641604065,False
