regime,scenario,halflife_h,tw_delta_psi_h,tw_atp_h,first_failure_mode,delta_psi_72h_mV,atp_c_72h_mM,integration_success
in_vivo_141h,A,141.0,,,,163.22716103293152,4.6704659273846385,True
in_vivo_141h,B,141.0,,,,165.3671900401292,0.07457851058333913,True
in_vivo_141h,C,141.0,,,,150.63525818521188,0.5087578354369139,True
uniform_12h,A,12.0,,33.64824120603015,atp,134.9873385465213,-127.79868611913761,True
uniform_12h,B,12.0,,14.472361809045227,atp,142.48702722115948,-98.87201623666425,True
uniform_12h,C,12.0,,13.748743718592966,atp,121.11448628061069,-226.41644903388183,True
accel_30x_4.7h,A,4.7,66.57286432160804,13.748743718592966,atp,91.53050969093833,-513.2578674707363,True
accel_30x_4.7h,B,4.7,,5.788944723618091,atp,100.65263895541591,-496.05890239275,True
accel_30x_4.7h,C,4.7,55.71859296482412,5.788944723618091,atp,75.11561432652259,-568.0193964397588,True
